,0069,92,00ED4
R,0070,8F,00E21
R,0070,90,014BB
R,0070,91,007D9
R,0070,92,00EC4
R,0070,93,00A70
R,0070,94,0030F
R,0070,95,00857
R,0070,96,00CC4
R,0070,97,00386
R,0070,98,015DB
R,0070,99,010BD
R,0070,9A,006C0
R,0070,9B,00E3D
R,0070,9C,0048F
R,0070,9D,00F08
R,0070,9E,01031
R,0070,9F,01213
R,0070,A0,003AA
R,0070,A1,011D7
R,0070,A2,01384
R,0070,A3,0115A
R,0070,A4,00DB9
R,0070,A5,00EA9
R,0070,A6,01397
R,0070,A7,0158E
R,0070,A8,00E54
R,0070,A9,01317
R,0070,AA,0168F
R,0070,AB,0024E
R,0070,AC,00243
R,0070,AD,005C8
R,0070,AE,0152F
R,0070,AF,006DB
R,0070,B0,00EE7
R,0070,B1,0118C
R,0070,B2,00315
R,0070,B3,0033A
R,0070,B4,01322
R,0070,B5,0132F
R,0070,B6,01181
R,0070,B7,0115A
R,0070,B8,00619
R,0070,B9,0020F
R,0070,BA,00250
R,0070,BB,0048E
R,0070,BC,00263
R,0070,BD,00D5D
R,0070,BE,005A0
R,0070,BF,006D0
R,0070,C0,00C56
R,0070,C1,01007
R,0070,C2,013BA
R,0070,C3,011DB
R,0070,C4,0056D
R,0070,C5,01275
R,0070,C6,008BF
R,0070,C7,00C1C
R,0070,C8,004F1
R,0070,C9,00A32
R,0070,CA,007D6
R,0070,CB,0051E
R,0070,CC,00A42
R,0070,CD,01634
R,0070,CE,01133
R,0070,CF,011F1
R,0070,D0,0163C
R,0070,D1,0159E
R,0070,D2,01640
R,0070,D3,00F42
R,0070,D4,00486
R,0070,D5,012E2
R,0070,D6,0066B
R,0070,D7,015E5
R,0070,D8,004E3
R,0070,D9,00512
R,0070,DA,0059D
R,0070,DB,002E1
R,0070,DC,0088B
R,0070,DD,005BE
R,0070,DE,002DE
R,0070,DF,0066A
R,0070,E0,014A3
R,0070,E1,0024A
R,0070,E2,00704
R,0070,E3,01211
R,0070,E4,01460
R,0070,E5,01610
R,0070,E6,00327
R,0070,E7,00D1B
R,0070,E8,004C6
R,0070,E9,014FA
R,0070,EA,014DB
R,0070,EB,00A7C
R,0070,EC,01073
R,0070,ED,0025A
R,0070,EE,00A15
R,0070,EF,001F6
R,0070,F0,00C63
R,0070,F1,013E6
R,0070,F2,00DF0
R,0070,F3,00836
R,0070,F4,00B4D
R,0070,F5,00F36
R,0070,F6,00901
R,0070,F7,01581
R,0070,F8,00373
R,0070,F9,00F3E
R,0070,FA,00DA1
R,0070,FB,0155A
R,0070,FC,00868
R,0070,FD,00F17
R,0070,FE,007FD
R,0070,FF,00ED6
T,0070,00555742
R,0071,00,00A0C
R,0071,01,0153D
R,0071,02,0155D
R,0071,03,003CB
R,0071,04,00879
R,0071,05,00999
R,0071,06,011CD
R,0071,07,00B2A
R,0071,08,0044D
R,0071,09,00ED9
R,0071,0A,00983
R,0071,0B,01104
R,0071,0C,015F3
R,0071,0D,00D42
R,0071,0E,00346
R,0071,0F,013D6
R,0071,10,0113A
R,0071,11,01649
R,0071,12,00259
R,0071,13,00DDB
R,0071,14,01224
R,0071,15,0085D
R,0071,16,00F3D
R,0071,17,01611
R,0071,18,009CE
R,0071,19,014F5
R,0071,1A,01432
R,0071,1B,00987
R,0071,1C,00CEF
R,0071,1D,0133E
R,0071,1E,00FDA
R,0071,1F,009B7
R,0071,20,00852
R,0071,21,0140E
R,0071,22,01574
R,0071,23,013B7
R,0071,24,01552
R,0071,25,01567
R,0071,26,00CC1
R,0071,27,016B8
R,0071,28,0095A
R,0071,29,00DBD
R,0071,2A,005BB
R,0071,2B,006B4
R,0071,2C,015E5
R,0071,2D,00C0A
R,0071,2E,009A0
R,0071,2F,00694
R,0071,30,01282
R,0071,31,0021F
R,0071,32,00F74
R,0071,33,00CF8
R,0071,34,0022E
R,0071,35,004B3
R,0071,36,0083F
R,0071,37,00FF8
R,0071,38,016A8
R,0071,39,0087C
R,0071,3A,006EB
R,0071,3B,001EB
R,0071,3C,015A6
R,0071,3D,00EA8
R,0071,3E,01076
R,0071,3F,00297
R,0071,40,005DA
R,0071,41,00E5A
R,0071,42,00EFB
R,0071,43,0134C
R,0071,44,0099D
R,0071,45,00418
R,0071,46,011FB
R,0071,47,002E5
R,0071,48,005DD
R,0071,49,012F9
R,0071,4A,00691
R,0071,4B,0139B
R,0071,4C,003BC
R,0071,4D,014A0
R,0071,4E,012F2
R,0071,4F,01158
R,0071,50,00E14
R,0071,51,013C5
R,0071,52,0065B
R,0071,53,006B5
R,0071,54,0134D
R,0071,55,00E70
R,0071,56,00208
R,0071,57,01453
R,0071,58,0048D
R,0071,59,011C6
R,0071,5A,014E4
R,0071,5B,0154B
R,0071,5C,008E0
R,0071,5D,001FE
R,0071,5E,00D86
R,0071,5F,006CE
R,0071,60,005FA
R,0071,61,00A49
R,0071,62,00627
R,0071,63,00A85
R,0071,64,008C7
R,0071,65,01085
R,0071,66,012D9
R,0071,67,014F2
R,0071,68,00F3E
R,0071,69,01659
R,0071,6A,00F1E
R,0071,6B,0082E
R,0071,6C,01203
R,0071,6D,00FC8
R,0071,6E,0166E
R,0071,6F,00D28
R,0071,70,015FF
R,0071,71,00A4A
R,0071,72,01163
R,0071,73,010E5
R,0071,74,006EA
R,0071,75,01058
R,0071,76,001DD
R,0071,77,014F4
R,0071,78,00840
R,0071,79,006D2
R,0071,7A,00F90
R,0071,7B,01207
R,0071,7C,0099C
R,0071,7D,0162F
R,0071,7E,00F55
R,0071,7F,005EB
R,0071,80,00646
R,0071,81,00A82
R,0071,82,0131A
R,0071,83,0112E
R,0071,84,0092D
R,0071,85,00598
R,0071,86,00553
R,0071,87,01028
R,0071,88,00D05
R,0071,89,0040B
R,0071,8A,00709
R,0071,8B,00D9C
R,0071,8C,010DC
R,0071,8D,01352
R,0071,8E,006A2
R,0071,8F,00E5A
R,0071,90,0146E
R,0071,91,007C8
R,0071,92,00EBF
R,0071,93,00A57
R,0071,94,00324
R,0071,95,0085D
R,0071,96,00C83
R,0071,97,003B0
R,0071,98,01638
R,0071,99,010B8
R,0071,9A,00740
R,0071,9B,00E4D
R,0071,9C,00475
R,0071,9D,00F74
R,0071,9E,0103C
R,0071,9F,011D8
R,0071,A0,00413
R,0071,A1,011D5
R,0071,A2,01332
R,0071,A3,0117A
R,0071,A4,00DAE
R,0071,A5,00E4D
R,0071,A6,01353
R,0071,A7,015BB
R,0071,A8,00E83
R,0071,A9,012F3
R,0071,AA,0168B
R,0071,AB,0023E
R,0071,AC,00264
R,0071,AD,005B0
R,0071,AE,01503
R,0071,AF,006AF
R,0071,B0,00EE5
R,0071,B1,0119C
R,0071,B2,00330
R,0071,B3,0035A
R,0071,B4,01371
R,0071,B5,0134B
R,0071,B6,0116F
R,0071,B7,010E9
R,0071,B8,005F0
R,0071,B9,00244
R,0071,BA,0021D
R,0071,BB,0048A
R,0071,BC,0023D
R,0071,BD,00D26
R,0071,BE,0056E
R,0071,BF,00758
R,0071,C0,00C3A
R,0071,C1,01027
R,0071,C2,013A5
R,0071,C3,011F5
R,0071,C4,00555
R,0071,C5,012A2
R,0071,C6,008CF
R,0071,C7,00C04
R,0071,C8,004F6
R,0071,C9,00A3C
R,0071,CA,00830
R,0071,CB,00500
R,0071,CC,00A6C
R,0071,CD,0162F
R,0071,CE,010E5
R,0071,CF,011C1
R,0071,D0,01653
R,0071,D1,015C3
R,0071,D2,01638
R,0071,D3,00F6B
R,0071,D4,00480
R,0071,D5,0130A
R,0071,D6,00676
R,0071,D7,015FA
R,0071,D8,004AA
R,0071,D9,004CE
R,0071,DA,005DF
R,0071,DB,002C2
R,0071,DC,00897
R,0071,DD,0063A
R,0071,DE,00295
R,0071,DF,00689
R,0071,E0,0151F
R,0071,E1,00224
R,0071,E2,00706
R,0071,E3,01187
R,0071,E4,0141B
R,0071,E5,015ED
R,0071,E6,00324
R,0071,E7,00DB0
R,0071,E8,004CD
R,0071,E9,01505
R,0071,EA,01468
R,0071,EB,00A8D
R,0071,EC,01095
R,0071,ED,00277
R,0071,EE,00A6C
R,0071,EF,0020F
R,0071,F0,00BF4
R,0071,F1,013D9
R,0071,F2,00E13
R,0071,F3,00801
R,0071,F4,00B42
R,0071,F5,00EC9
R,0071,F6,0091D
R,0071,F7,01585
R,0071,F8,002F4
R,0071,F9,00F6A
R,0071,FA,00D7A
R,0071,FB,014F8
R,0071,FC,008A2
R,0071,FD,00E9B
R,0071,FE,007F3
R,0071,FF,00E74
T,0071,00555742
R,0072,00,009C3
R,0072,01,01540
R,0072,02,01523
R,0072,03,003A8
R,0072,04,00874
R,0072,05,00999
R,0072,06,011B3
R,0072,07,00B2B
R,0072,08,004A1
R,0072,09,00E4A
R,0072,0A,0094E
R,0072,0B,01185
R,0072,0C,015E0
R,0072,0D,00D74
R,0072,0E,0035E
R,0072,0F,013C0
R,0072,10,01123
R,0072,11,0162B
R,0072,12,0025A
R,0072,13,00E1E
R,0072,14,01203
R,0072,15,0086D
R,0072,16,00F61
R,0072,17,01626
R,0072,18,009AC
R,0072,19,01510
R,0072,1A,0141A
R,0072,1B,0094F
R,0072,1C,00CC8
R,0072,1D,01395
R,0072,1E,00FB1
R,0072,1F,009FC
R,0072,20,00835
R,0072,21,013BB
R,0072,22,01593
R,0072,23,0141C
R,0072,24,01591
R,0072,25,0153F
R,0072,26,00C1A
R,0072,27,016C3
R,0072,28,0096C
R,0072,29,00D6B
R,0072,2A,0060B
R,0072,2B,006F6
R,0072,2C,01564
R,0072,2D,00C8B
R,0072,2E,009B7
R,0072,2F,00695
R,0072,30,0125E
R,0072,31,00253
R,0072,32,00F23
R,0072,33,00CCB
R,0072,34,0021B
R,0072,35,00497
R,0072,36,00890
R,0072,37,00FF9
R,0072,38,016A6
R,0072,39,00849
R,0072,3A,0066C
R,0072,3B,001CF
R,0072,3C,01587
R,0072,3D,00E93
R,0072,3E,010B0
R,0072,3F,0025B
R,0072,40,0062B
R,0072,41,00E85
R,0072,42,00F4C
R,0072,43,01362
R,0072,44,009C3
R,0072,45,00432
R,0072,46,0121F
R,0072,47,0039D
R,0072,48,005CA
R,0072,49,0135A
R,0072,4A,0065A
R,0072,4B,01343
R,0072,4C,0040B
R,0072,4D,014E5
R,0072,4E,012F9
R,0072,4F,010ED
R,0072,50,00DB6
R,0072,51,013CA
R,0072,52,0061F
R,0072,53,006FC
R,0072,54,013D2
R,0072,55,00EDA
R,0072,56,001FC
R,0072,57,0148D
R,0072,58,004A7
R,0072,59,01233
R,0072,5A,014CA
R,0072,5B,01582
R,0072,5C,008F4
R,0072,5D,00209
R,0072,5E,00D86
R,0072,5F,0070E
R,0072,60,005F4
R,0072,61,00A43
R,0072,62,006B4
R,0072,63,00A48
R,0072,64,00895
R,0072,65,0104A
R,0072,66,012F7
R,0072,67,014DE
R,0072,68,00F08
R,0072,69,0164C
R,0072,6A,00F02
R,0072,6B,00890
R,0072,6C,011D7
R,0072,6D,00FB5
R,0072,6E,01672
R,0072,6F,00D67
R,0072,70,0160F
R,0072,71,00A49
R,0072,72,01189
R,0072,73,01085
R,0072,74,006BB
R,0072,75,01048
R,0072,76,001C3
R,0072,77,014EC
R,0072,78,0083A
R,0072,79,006D6
R,0072,7A,00EDB
R,0072,7B,0126A
R,0072,7C,00985
R,0072,7D,01645
R,0072,7E,00FA4
R,0072,7F,005CA
R,0072,80,0061A
R,0072,81,009E1
R,0072,82,013B2
R,0072,83,0115A
R,0072,84,008B9
R,0072,85,005DD
R,0072,86,0051F
R,0072,87,0108D
R,0072,88,00DD4
R,0072,89,003E4
R,0072,8A,00715
R,0072,8B,00D91
R,0072,8C,0111A
R,0072,8D,0135D
R,0072,8E,00704
R,0072,8F,00DFA
R,0072,90,014E8
R,0072,91,007AB
R,0072,92,00EA3
R,0072,93,00A5A
R,0072,94,0034D
R,0072,95,0081E
R,0072,96,00C7C
R,0072,97,003DB
R,0072,98,015EE
R,0072,99,010FD
R,0072,9A,006E5
R,0072,9B,00E1D
R,0072,9C,00465
R,0072,9D,00F36
R,0072,9E,0102A
R,0072,9F,01237
R,0072,A0,00414
R,0072,A1,011D2
R,0072,A2,013D4
R,0072,A3,0118C
R,0072,A4,00DA7
R,0072,A5,00E55
R,0072,A6,013B1
R,0072,A7,015E3
R,0072,A8,00EAF
R,0072,A9,0131C
R,0072,AA,0168D
R,0072,AB,0022C
R,0072,AC,00263
R,0072,AD,005F4
R,0072,AE,01515
R,0072,AF,006A0
R,0072,B0,00ECA
R,0072,B1,01162
R,0072,B2,0042A
R,0072,B3,0038C
R,0072,B4,01340
R,0072,B5,0138F
R,0072,B6,01163
R,0072,B7,0112E
R,0072,B8,0059E
R,0072,B9,00224
R,0072,BA,0022C
R,0072,BB,00493
R,0072,BC,00236
R,0072,BD,00DB8
R,0072,BE,00570
R,0072,BF,0072B
R,0072,C0,00C3B
R,0072,C1,01057
R,0072,C2,0136E
R,0072,C3,011BC
R,0072,C4,00539
R,0072,C5,012DF
R,0072,C6,008EB
R,0072,C7,00BD5
R,0072,C8,004F3
R,0072,C9,00A59
R,0072,CA,00822
R,0072,CB,0051D
R,0072,CC,00A52
R,0072,CD,01638
R,0072,CE,010F6
R,0072,CF,0125F
R,0072,D0,01649
R,0072,D1,015CE
R,0072,D2,01646
R,0072,D3,00F49
R,0072,D4,00475
R,0072,D5,01323
R,0072,D6,00684
R,0072,D7,015BE
R,0072,D8,004AD
R,0072,D9,00517
R,0072,DA,00592
R,0072,DB,002AD
R,0072,DC,0087C
R,0072,DD,00609
R,0072,DE,002C0
R,0072,DF,0066A
R,0072,E0,01503
R,0072,E1,00243
R,0072,E2,0069D
R,0072,E3,0112C
R,0072,E4,0143F
R,0072,E5,01603
R,0072,E6,00344
R,0072,E7,00D67
R,0072,E8,004A9
R,0072,E9,01522
R,0072,EA,01497
R,0072,EB,00A78
R,0072,EC,01075
R,0072,ED,0028A
R,0072,EE,00A42
R,0072,EF,001CD
R,0072,F0,00C38
R,0072,F1,013B5
R,0072,F2,00DD5
R,0072,F3,007FA
R,0072,F4,00BD1
R,0072,F5,00F17
R,0072,F6,008B9
R,0072,F7,01579
R,0072,F8,00352
R,0072,F9,00FAE
R,0072,FA,00DBE
R,0072,FB,014DA
R,0072,FC,00887
R,0072,FD,00EDA
R,0072,FE,007E7
R,0072,FF,00E95
T,0072,00552723
R,0073,00,009E3
R,0073,01,01509
R,0073,02,01514
R,0073,03,003D5
R,0073,04,00853
R,0073,05,009A7
R,0073,06,011FB
R,0073,07,00AD8
R,0073,08,004A0
R,0073,09,00EAA
R,0073,0A,00950
R,0073,0B,011B1
R,0073,0C,015B0
R,0073,0D,00D35
R,0073,0E,003B0
R,0073,0F,01388
R,0073,10,01111
R,0073,11,0164D
R,0073,12,0023A
R,0073,13,00E35
R,0073,14,011EF
R,0073,15,008AC
R,0073,16,00EC7
R,0073,17,01619
R,0073,18,0097A
R,0073,19,01510
R,0073,1A,0140C
R,0073,1B,0095E
R,0073,1C,00CA2
R,0073,1D,01333
R,0073,1E,01034
R,0073,1F,009DD
R,0073,20,007D7
R,0073,21,01389
R,0073,22,0153E
R,0073,23,01393
R,0073,24,01577
R,0073,25,015B3
R,0073,26,00C9F
R,0073,27,016A9
R,0073,28,0093E
R,0073,29,00DCA
R,0073,2A,005EF
R,0073,2B,006BE
R,0073,2C,01555
R,0073,2D,00C4D
R,0073,2E,009B8
R,0073,2F,0064C
R,0073,30,0121E
R,0073,31,00261
R,0073,32,00F05
R,0073,33,00CFC
R,0073,34,00240
R,0073,35,00448
R,0073,36,0081A
R,0073,37,00FFE
R,0073,38,01678
R,0073,39,008A4
R,0073,3A,006DE
R,0073,3B,001E7
R,0073,3C,0159B
R,0073,3D,00EEB
R,0073,3E,010A9
R,0073,3F,00299
R,0073,40,005D0
R,0073,41,00DE7
R,0073,42,00F30
R,0073,43,01319
R,0073,44,00930
R,0073,45,00402
R,0073,46,011E1
R,0073,47,003AE
R,0073,48,00597
R,0073,49,01354
R,0073,4A,006F0
R,0073,4B,01303
R,0073,4C,003F0
R,0073,4D,01506
R,0073,4E,01350
R,0073,4F,0114C
R,0073,50,00DD9
R,0073,51,013AC
R,0073,52,00634
R,0073,53,006E2
R,0073,54,01366
R,0073,55,00E60
R,0073,56,001ED
R,0073,57,01458
R,0073,58,004C3
R,0073,59,011CA
R,0073,5A,01502
R,0073,5B,01574
R,0073,5C,008E0
R,0073,5D,001D2
R,0073,5E,00D6B
R,0073,5F,00665
R,0073,60,0059B
R,0073,61,00A5C
R,0073,62,00646
R,0073,63,00A8E
R,0073,64,008E8
R,0073,65,00FE8
R,0073,66,012BF
R,0073,67,01505
R,0073,68,00E95
R,0073,69,01656
R,0073,6A,00F68
R,0073,6B,008C2
R,0073,6C,011FE
R,0073,6D,00FBF
R,0073,6E,01660
R,0073,6F,00D29
R,0073,70,0162D
R,0073,71,00A68
R,0073,72,0119A
R,0073,73,010DD
R,0073,74,006DC
R,0073,75,01049
R,0073,76,001F7
R,0073,77,0150C
R,0073,78,00879
R,0073,79,006BF
R,0073,7A,00F64
R,0073,7B,01222
R,0073,7C,009D1
R,0073,7D,01634
R,0073,7E,00FB9
R,0073,7F,0064B
R,0073,80,00662
R,0073,81,00A0A
R,0073,82,0136D
R,0073,83,01159
R,0073,84,00906
R,0073,85,005DE
R,0073,86,0054E
R,0073,87,0104E
R,0073,88,00DC3
R,0073,89,003CE
R,0073,8A,0070E
R,0073,8B,00DF5
R,0073,8C,0103B
R,0073,8D,01374
R,0073,8E,006EB
R,0073,8F,00E53
R,0073,90,01434
R,0073,91,00799
R,0073,92,00EA5
R,0073,93,009EA
R,0073,94,0033C
R,0073,95,0083A
R,0073,96,00CCA
R,0073,97,0037F
R,0073,98,015E3
R,0073,99,01185
R,0073,9A,006C0
R,0073,9B,00E5E
R,0073,9C,004A8
R,0073,9D,00F35
R,0073,9E,01052
R,0073,9F,011D1
R,0073,A0,00402
R,0073,A1,0120B
R,0073,A2,0137F
R,0073,A3,0115B
R,0073,A4,00DAE
R,0073,A5,00D56
R,0073,A6,01393
R,0073,A7,015A6
R,0073,A8,00E64
R,0073,A9,01337
R,0073,AA,0166F
R,0073,AB,0022B
R,0073,AC,00254
R,0073,AD,005F1
R,0073,AE,01530
R,0073,AF,006BC
R,0073,B0,00ED4
R,0073,B1,01144
R,0073,B2,00371
R,0073,B3,0036A
R,0073,B4,012F2
R,0073,B5,013FF
R,0073,B6,01182
R,0073,B7,01124
R,0073,B8,005AC
R,0073,B9,00238
R,0073,BA,00234
R,0073,BB,004A2
R,0073,BC,0021F
R,0073,BD,00DB7
R,0073,BE,005DB
R,0073,BF,00748
R,0073,C0,00C95
R,0073,C1,01081
R,0073,C2,013A4
R,0073,C3,011A7
R,0073,C4,0055C
R,0073,C5,01225
R,0073,C6,0094E
R,0073,C7,00BF8
R,0073,C8,00486
R,0073,C9,00ACD
R,0073,CA,007FA
R,0073,CB,004D9
R,0073,CC,00A36
R,0073,CD,0162C
R,0073,CE,01199
R,0073,CF,011E2
R,0073,D0,01643
R,0073,D1,0159E
R,0073,D2,0165A
R,0073,D3,00F87
R,0073,D4,00480
R,0073,D5,012F9
R,0073,D6,005CD
R,0073,D7,015E0
R,0073,D8,004B3
R,0073,D9,00514
R,0073,DA,00585
R,0073,DB,002E0
R,0073,DC,00836
R,0073,DD,005D8
R,0073,DE,002B7
R,0073,DF,006B3
R,0073,E0,01510
R,0073,E1,00226
R,0073,E2,006D5
R,0073,E3,01151
R,0073,E4,01425
R,0073,E5,0162C
R,0073,E6,00335
R,0073,E7,00DA8
R,0073,E8,0053B
R,0073,E9,0150B
R,0073,EA,014A5
R,0073,EB,00AA6
R,0073,EC,01087
R,0073,ED,0027B
